Comment_No,Username,Time_Ago,Weeks_Ago,Comment_Text,Reply_To,Is_Creator_Reply,Category,Contains_Question,Has_Emoji,Language,Comment_Length
248,sabazaikhan,38 w,38,Egg ki jagah kia use kr sakte ??,,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,32
249,adcakesbyadrika,38 w,38,😍,,No,Positive / Appreciation,No,Yes,English,1
250,__bisharath__,38 w,38,Try to use butter more richer authentic flavour if possible courveture chocolate🙏 I'm too brownie business owner or it'll taste cheap,,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,133
251,theindulgenttreats,38 w,38,🤤❤️,,No,Positive / Appreciation,No,Yes,English,3
252,muskan_.alii,38 w,38,Ewwww itna oilllll🤢,,No,Recipe/Ingredient Question,No,Yes,English,19
253,mealsandmood,38 w,38,Yummy,,No,Positive / Appreciation,No,No,English,5
254,cygnus_olar5,38 w,38,Og brownies do not make like this and i think oil is little as well 🥀,,No,Recipe/Ingredient Question,No,Yes,English,69
255,angel.minhal.106,38 w,38,Koi tu recipe type kr bata dein,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,31
256,angel.minhal.106,38 w,38,Koi hai jo ingredients type krdein plsd,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,39
257,f_.4t1m.4,39 w,39,Can I add only choco powder,,No,General,No,No,English,27
258,mahixah,39 w,39,Kash meri bestie ko bhi bnani ati😭🤌,,No,General,No,Yes,Mixed/Urdu,35
259,whoisbismax,39 w,39,Over nhi hn kya kry😢,,No,General,No,Yes,Mixed/Urdu,20
260,kalichornii,39 w,39,is there any alternative for oil? it's too much,,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,47
261,__riza__14__,39 w,39,Hey di can u plzz share the measure of every ingredient in cup quantity.,,No,Recipe/Ingredient Question,No,No,English,72
262,ashyy.x._,39 w,39,Please mujhse dosti krlo😭🙂,,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,26
263,mariamm25103,39 w,39,Can we skip brown sugar and can you plzzz tell in cups😭😭,,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,56
264,fizaa__70,39 w,39,Which chocolate mould!?,,No,Recipe/Ingredient Question,Yes,No,English,23
265,zakia_huraira,39 w,39,It's dry ingredient not wet,,No,Criticism / Negative,No,No,English,27
266,natasha_sarkey_official,39 w,39,"Am I the only one who heard, now we'll add the wet ingredients but in contrary she added all the dry ingredients.😄",,No,Recipe/Ingredient Question,No,Yes,English,114
267,aleeshbazahid,39 w,39,Brown sugar na ho toh,,No,Recipe/Ingredient Question,No,No,English,21
268,shifalicious_,39 w,39,Measurements according to cups ??,,No,Recipe/Ingredient Question,Yes,No,English,33
269,_.syed_humaira_,39 w,39,Dostt banengii appiiii🥹🤌🏻,,No,Humour / Friendly Banter,No,Yes,Mixed/Urdu,25
270,fatimaanwarr4,39 w,39,Brownies ka liya Dono rods otg ka on rhta?plz replyy,,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,52
271,rabeel_walidaad,39 w,39,Brownies in oil?,,No,Recipe/Ingredient Question,Yes,No,English,16
272,ummeehaaa_meymeyyyy,39 w,39,Use butter gurll ewwwww😭,,No,Recipe/Ingredient Question,No,Yes,English,24
273,blissful_delight8_udaipur,39 w,39,Recipe,,No,Recipe/Ingredient Question,No,No,English,6
274,zohahaqqani,39 w,39,hand beater from which company??,,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,32
275,mehakdikadhai,39 w,39,Perfectly made❤️❤️,,No,Positive / Appreciation,No,Yes,English,18
276,attari_arwa_chhatriwala,39 w,39,Awesome,,No,General,No,No,English,7
277,trupthi28_,39 w,39,Recipe,,No,Recipe/Ingredient Question,No,No,English,6
278,crave__and__crumble,40 w,40,You can make brownies in much healthier way..,,No,General,No,No,English,45
279,amraizafatima,40 w,40,Unhealthy,,No,Criticism / Negative,No,No,Mixed/Urdu,9
280,riffatharis,40 w,40,Gram ko cups m measurement btye,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,31
281,naaashpati007,40 w,40,Kaleji lagri hai 😂,,No,General,No,Yes,Mixed/Urdu,18
282,_awnnesha_,40 w,40,😍😍😍😍,,No,Positive / Appreciation,No,Yes,English,4
283,anoo25007,40 w,40,Which brand of chocolate did you use??,,No,Recipe/Ingredient Question,Yes,No,English,38
284,mubeen.aliya,40 w,40,So yummy 😋,,No,Positive / Appreciation,No,Yes,English,10
285,diya_lulla_,40 w,40,Eggless,,No,Recipe/Ingredient Question,No,No,English,7
286,farsiuser,40 w,40,😍,,No,Positive / Appreciation,No,Yes,English,1
287,karmayogi.shiva,40 w,40,Heartattack recipe,,No,Recipe/Ingredient Question,No,No,English,18
288,javeriaistic,40 w,40,Will you be my sister? 🥺,,No,Humour / Friendly Banter,Yes,Yes,English,24
289,sadialawai,40 w,40,Plzz cup me btye measurements plz,,No,Recipe/Ingredient Question,No,No,English,33
290,rao.yaminie,40 w,40,Full recipe.,,No,Recipe/Ingredient Question,No,No,English,12
291,ziya_arz_,40 w,40,Kon sa oil lena h,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,17
292,sumaiyya_jahanzaib,40 w,40,Yr grams nhi smjh aata cup ya spoon k hisab ss btaen,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,52
293,msalman782,40 w,40,AP Ml my bata dain,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,18
294,alizeykhan776,40 w,40,Recipe for 2 eggs plz?,,No,Recipe/Ingredient Question,Yes,No,English,22
295,cupca_kes245,40 w,40,Can we use desi ghee and not cooking oil,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,40
296,fatimasaeed551,40 w,40,❤️❤️❤️😍😍😍,,No,Positive / Appreciation,No,Yes,English,9
297,malaikahbajwa,40 w,40,Vanilla essence grams?,,No,Recipe/Ingredient Question,Yes,No,English,22
298,cookwithchitraa,40 w,40,😍😍,,No,Positive / Appreciation,No,Yes,English,2
299,shesawitchbbg,40 w,40,Diabetes,,No,Criticism / Negative,No,No,English,8
300,faizaheer.1,40 w,40,Yummy 🤤,,No,Positive / Appreciation,No,Yes,English,7
301,embesatt,40 w,40,Can I make these in microwave?,,No,Recipe/Ingredient Question,Yes,No,English,30
302,waseykhan_,40 w,40,🔥🔥,,No,General,No,Yes,English,2
