Comment_No,Username,Time_Ago,Weeks_Ago,Comment_Text,Reply_To,Is_Creator_Reply,Category,Contains_Question,Has_Emoji,Language,Comment_Length
77,a.d.i.n.a_a.l.i_,38 w,38,Pithetic recepe ...dont try these unhelaty and un profeesional recepies at home,,No,Criticism / Negative,No,No,English,79
78,sozal_foods,38 w,38,Pathetic* recipe* unhealthy* unprofessional*,,Yes,Creator Reply,No,No,Mixed/Urdu,44
79,miss_reha_khan9321,38 w,38,Itna oil baap re,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,16
80,shaheer_daneer_,40 w,40,Meri brownies alhmdullilah aisi hi bnti hain lkin meri brownies hamesha butter paper pr stick ho jati hain eski kia reason hai,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,126
81,zahrarana29,38 w,38,put your brownies in the fridge and try to remove the paper next day and thank me later 😘🤓,@shaheer_daneer_,No,General,No,Yes,Mixed/Urdu,90
82,shaheer_daneer_,38 w,38,shut up ! Agle din tk mai foat hojaon gi wait kr kr k 🙄🙄,@zahrarana29,No,General,No,Yes,Mixed/Urdu,56
83,shadabbb_66,39 w,39,Banaein ??,@gang_ster_lady,No,General,Yes,No,English,10
84,memon_sahaaabb,39 w,39,sure babe 😭 JB ap kahen,@shadabbb_66,No,General,No,Yes,Mixed/Urdu,23
85,sozal_foods,39 w,39,mai reel dlt kar rahi phir karty rehna yeh sb💀,@gang_ster_lady,Yes,Creator Reply,No,Yes,Mixed/Urdu,46
86,memon_sahaaabb,39 w,39,😂😭😭😭😭 nhhhhhh me save kr lu😭😭😭,@sozal_foods,No,General,No,Yes,Mixed/Urdu,30
87,memon_sahaaabb,39 w,39,will you be my business partner 😂😭,@shadabbb_66,No,Humour / Friendly Banter,No,Yes,English,34
88,shadabbb_66,39 w,39,sure why not meri jaan😭😭,@gang_ster_lady,No,Criticism / Negative,No,Yes,Mixed/Urdu,24
89,memon_sahaaabb,39 w,39,😭😭😭 B's me jarhi business krny😭,@shadabbb_66,No,General,No,Yes,Mixed/Urdu,31
90,iqrahammadmomin3,39 w,39,Super moist,,No,Positive / Appreciation,No,No,English,11
91,surekhaoommen,40 w,40,Pls give the written recipe with the size of tin u used 🙏,,No,Recipe/Ingredient Question,No,Yes,English,57
92,sozal_foods,40 w,40,Tin 10x12 and I'll write the recipe in the caption!!,@surekhaoommen,Yes,Creator Reply,No,No,Mixed/Urdu,52
93,moon_light_i7,40 w,40,Firsttt😋,,No,Positive / Appreciation,No,Yes,English,8
94,sozal_foods,40 w,40,bss yeh sari brownies apki hoi💃 address batai apna📝,@moon_light_i7,Yes,Creator Reply,No,Yes,Mixed/Urdu,51
95,moon_light_i7,40 w,40,india se hun waha tak atey atey ye brownies se wapas chochlate banjayengi😭,@sozal_foods,No,General,No,Yes,Mixed/Urdu,74
96,optimals2002,40 w,40,Oil😱,,No,Recipe/Ingredient Question,No,Yes,English,4
97,sozal_foods,40 w,40,mou band karein makhi chali jaigi🤐,@optimals2002,Yes,Creator Reply,No,Yes,Mixed/Urdu,34
98,optimals2002,39 w,39,😂,@sozal_foods,No,General,No,Yes,English,1
99,sugarplum_mu,40 w,40,egg option ?,,No,Recipe/Ingredient Question,Yes,No,English,12
100,sozal_foods,40 w,40,"yogurt, buttermilk",@_its_mume_,Yes,Creator Reply,No,No,English,18
101,sugarplum_mu,40 w,40,thnx 🙌,@sozal_foods,No,General,No,Yes,English,6
102,ziyaasyd,40 w,40,Eggs replacement?,,No,Recipe/Ingredient Question,Yes,No,English,17
103,sozal_foods,40 w,40,"Yogurt, buttermilk",,Yes,Creator Reply,No,No,English,18
104,ziyaasyd,40 w,40,quantity?,@sozal_foods,No,Recipe/Ingredient Question,Yes,No,English,9
105,almasasad4,40 w,40,Size of pan?,,No,Recipe/Ingredient Question,Yes,No,English,12
106,sozal_foods,40 w,40,12x10,@almasasad4,Yes,Creator Reply,No,No,English,5
107,ewww.whats.that,40 w,40,Maida wet hota hai??,,No,General,Yes,No,Mixed/Urdu,20
108,ayat_24_12,40 w,40,Written recipe ❤️,,No,Recipe/Ingredient Question,No,Yes,English,17
109,sozal_foods,40 w,40,Save the video I'll write the recipe in the caption🤍,,Yes,Creator Reply,No,Yes,Mixed/Urdu,52
110,marjan_shah__,40 w,40,Meri dost banjao 😭,,No,Humour / Friendly Banter,No,Yes,Mixed/Urdu,18
111,sozal_foods,40 w,40,brownies k list ab an dost ban rahy Mery😔,@marjan_shah__,Yes,Creator Reply,No,Yes,Mixed/Urdu,41
112,count_n_cut_calories,40 w,40,Looks yummmm,,No,Positive / Appreciation,No,No,English,12
113,sozal_foods,40 w,40,it wasss sooo yummmmm😭😋🤤,@count_n_cut_calories,Yes,Creator Reply,No,Yes,English,24
114,creamy_creations.lahore,40 w,40,Pan size?,,No,Recipe/Ingredient Question,Yes,No,English,9
115,sozal_foods,40 w,40,10x12,@creamy_creations.lahore,Yes,Creator Reply,No,No,English,5
116,neha.izhar,40 w,40,Can you please give me recipe for small portion ?,,No,Recipe/Ingredient Question,Yes,No,English,49
117,nidaibrahim96,40 w,40,ask me your Khala chef,@neha.izhar,No,General,No,No,English,22
118,saaar_____321,40 w,40,😍 I wish you were my sister and lived with me at home❤️ all the best wishes 💖🧿,,No,Positive / Appreciation,No,Yes,English,78
119,sozal_foods,40 w,40,ahahahha girl yeh meri mama ny banai hai pray for herrrr🫶😂,@saaar_____321,Yes,Creator Reply,No,Yes,Mixed/Urdu,58
120,saaar_____321,40 w,40,i am ok with mama ny also😹❤️,@sozal_foods,No,Positive / Appreciation,No,Yes,Mixed/Urdu,28
121,anwaar.faiza,40 w,40,Ye kitnay inch ka mold he,,No,General,No,No,Mixed/Urdu,25
122,sozal_foods,40 w,40,10x12,@anwaar.faiza,Yes,Creator Reply,No,No,English,5
123,fatimamusfira,40 w,40,Vanilla essence kis company ka best hai?,,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,40
124,sozal_foods,40 w,40,Sac best lagta,,Yes,Creator Reply,No,No,English,14
125,sofia.muzammil,40 w,40,Hey…baking tin size please..and link please..bhottt din se dhundh rahi hu,,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,73
126,sozal_foods,40 w,40,10x12 I don't have any link😔😔,@sofia.muzammil,Yes,Creator Reply,No,Yes,Mixed/Urdu,29
127,spicetrailcrafter,40 w,40,Which size tin did u used?,,No,Recipe/Ingredient Question,Yes,No,English,26
128,sozal_foods,40 w,40,10x12,@rashida_g6,Yes,Creator Reply,No,No,English,5
129,fahimsummiya,40 w,40,Pan size?,,No,Recipe/Ingredient Question,Yes,No,English,9
130,sozal_foods,40 w,40,10x12,@fahimsummiya,Yes,Creator Reply,No,No,English,5
131,hustle_withshagufta,40 w,40,Can we make it without an oven how much time will take,,No,Recipe/Ingredient Question,No,No,English,54
132,sozal_foods,40 w,40,yes you can!!!! Time thora barh jaiga bcz halki anch pr banta hai,@hustle_withshagufta,Yes,Creator Reply,No,No,Mixed/Urdu,65
133,hadeedsafder,40 w,40,Dost bnny ki koi vacancy khali hy?,,No,Humour / Friendly Banter,Yes,No,Mixed/Urdu,34
134,sozal_foods,40 w,40,Souchti hun is bary mein💅😌,,Yes,Creator Reply,No,Yes,English,26
135,sanihanadeem01,40 w,40,All dry Ingredients *,,No,Recipe/Ingredient Question,No,No,English,21
136,sozal_foods,40 w,40,neend mein recording karny ka nateeja🤣🤣,@sanihanadeem01,Yes,Creator Reply,No,Yes,Mixed/Urdu,39
137,sanihanadeem01,40 w,40,its ok❤️,@sozal_foods,No,Positive / Appreciation,No,Yes,English,8
138,afsha_shaikh_1618,40 w,40,Please adopt me 😭 I'm just 20,,No,Recipe/Ingredient Question,No,Yes,English,29
139,sozal_foods,40 w,40,Ahahahaha🤣🤣🤣,,Yes,Creator Reply,No,Yes,English,12
140,nurr_00_8,40 w,40,"Will add tip for you to make them fudgy , these are cakey , if you want to make fudge brownie mix your all ingredients in only 1 direction and don't over mix 🔥🙌❤️ and try to use normal whisk",,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,190
141,ahmed_12kanchwala,40 w,40,Instead of oil can we use butter and watcwould be the quantity,,No,Recipe/Ingredient Question,No,No,English,62
142,jiya.lism,40 w,40,ye to ni dkhi thi?,@hawhaye._.elsa,No,General,Yes,No,English,18
143,hawhaye._.elsa,40 w,40,nhi yaar😩,@jiya.lism,No,General,No,Yes,Mixed/Urdu,9
144,ivanaanis18,40 w,40,umm nom nom nom 🥹🤤🤤,,No,Positive / Appreciation,No,Yes,English,19
145,sozal_foods,40 w,40,😋🤤,@ivanaanis18,Yes,Creator Reply,No,Yes,English,2
146,duaa_rip,40 w,40,@c.ocomo_,,No,General,No,No,English,9
147,c.ocomo_,40 w,40,😭🙏,@fuu_rip,No,General,No,Yes,English,2
148,sabeca_97,40 w,40,Cooking Chocolate kis brand ki best rehti hai?…,,No,Recipe/Ingredient Question,Yes,Yes,Mixed/Urdu,47
149,sozal_foods,40 w,40,crave dark chocolate,@sabeca_97,Yes,Creator Reply,No,No,English,20
150,sabeca_97,40 w,40,thnks alot❤️,@sozal_foods,No,Positive / Appreciation,No,Yes,English,12
151,blogs_by_rabea,40 w,40,"Maine jb se fudge brownies khayi Hain , tab se I don't like cakes anymore 😍",,No,Positive / Appreciation,No,Yes,Mixed/Urdu,75
152,sozal_foods,40 w,40,mujhe tou kuch bhi dedo khalogi😂😂,@blogs_by_rabea,Yes,Creator Reply,No,Yes,Mixed/Urdu,33
153,blogs_by_rabea,40 w,40,😂😂,@sozal_foods,No,General,No,Yes,English,2
154,khadijahnwr,40 w,40,Is it sweet or super sweet,,No,General,No,No,English,26
155,sozal_foods,40 w,40,Ab itna nhi pata mujhe😭😂 pouch kar bata dungi💀,,Yes,Creator Reply,No,Yes,Mixed/Urdu,46
156,_bkl4real_,40 w,40,Dry ingredients*,,No,Recipe/Ingredient Question,No,No,English,16
157,sozal_foods,40 w,40,bary bary shehro mein aesi choti choti batein hoti rehti hai😌✌🏼,@__syeda00,Yes,Creator Reply,No,Yes,Mixed/Urdu,63
158,nom.nomfoodies,40 w,40,Chocolate khn ki h ? 🤤,,No,Recipe/Ingredient Question,Yes,Yes,Mixed/Urdu,22
159,sozal_foods,40 w,40,crave dark chocolate,@nom.nomfoodies,Yes,Creator Reply,No,No,English,20
160,manay_afzal,40 w,40,literally the yummiest 😩😩😩,,No,Positive / Appreciation,No,Yes,English,26
161,sozal_foods,40 w,40,frrrr,@manay_afzal,Yes,Creator Reply,No,No,English,5
162,sozal_foods,40 w,40,Kia apky ps Mery jaisy achy dost hai jo apko brownies khilai?😋☺️💅💃,,Yes,Creator Reply,Yes,Yes,Mixed/Urdu,66
